run_id,timestamp,output_file,agent_name,model_name,prompt_tokens,completion_tokens,total_tokens,total_cost
1,2026-06-25T10:53:42,generated_vplan_2026-06-25_10-53-35.json,vplan_generator,gpt-5.4-mini,1495,1034,2529,0.00577425
1,2026-06-25T10:53:42,generated_vplan_2026-06-25_10-53-35.json,edge_case_extractor,gpt-5.4,1795,373,2168,0.0100825
2,2026-06-25T11:09:08,generated_vplan_2026-06-25_11-08-54.json,vplan_generator,gpt-5.4,1495,1208,2703,0.0218575
2,2026-06-25T11:09:08,generated_vplan_2026-06-25_11-08-54.json,edge_case_extractor,gpt-5.4,1795,486,2281,0.0117775
3,2026-06-25T11:17:25,generated_vplan_2026-06-25_11-17-07.json,vplan_generator,gpt-5.4,1495,1125,2620,0.0206125
3,2026-06-25T11:17:25,generated_vplan_2026-06-25_11-17-07.json,edge_case_extractor,gpt-5.4,1795,492,2287,0.0118675
4,2026-06-25T11:19:48,generated_vplan_2026-06-25_11-19-36.json,vplan_generator,gpt-5.4,1495,1077,2572,0.0198925
4,2026-06-25T11:19:48,generated_vplan_2026-06-25_11-19-36.json,edge_case_extractor,gpt-5.4,1795,459,2254,0.0113725
5,2026-06-25T16:51:13,generated_vplan_2026-06-25_16-48-55.json,vplan_generator,gpt-5.4,7101,11794,18895,0.1946625
5,2026-06-25T16:51:13,generated_vplan_2026-06-25_16-48-55.json,edge_case_extractor,gpt-5.4,8046,729,8775,0.03105
6,2026-07-02T09:38:30,generated_vplan_2026-07-02_09-38-17.json,vplan_generator,gpt-5.4,1495,1012,2507,0.0189175
6,2026-07-02T09:38:30,generated_vplan_2026-07-02_09-38-17.json,edge_case_extractor,gpt-5.4,1795,471,2266,0.0115525
7,2026-07-02T15:19:09,generated_vplan_2026-07-02_15-17-18.json,vplan_generator,gpt-5.4,7101,10665,17766,0.1777275
7,2026-07-02T15:19:09,generated_vplan_2026-07-02_15-17-18.json,edge_case_extractor,gpt-5.4,8046,641,8687,0.02973
8,2026-07-03T11:10:57,generated_vplan_2026-07-03_11-10-32.json,vplan_generator,gpt-5.4,1363,1883,3246,0.0316525
8,2026-07-03T11:10:57,generated_vplan_2026-07-03_11-10-32.json,edge_case_extractor,gpt-5.4,1906,370,2276,0.010315
9,2026-07-03T11:10:58,generated_vplan_2026-07-03_11-10-32.json,vplan_generator,gpt-5.4,1363,1883,3246,0.0316525
9,2026-07-03T11:10:58,generated_vplan_2026-07-03_11-10-32.json,edge_case_extractor,gpt-5.4,1906,370,2276,0.010315
10,2026-07-03T13:46:30,generated_vplan_2026-07-03_13-46-09.json,vplan_generator,gpt-5.4,1905,1603,3508,0.0288075
10,2026-07-03T13:46:30,generated_vplan_2026-07-03_13-46-09.json,edge_case_extractor,gpt-5.4,1906,368,2274,0.010285
11,2026-07-03T15:21:23,generated_vplan_2026-07-03_15-21-00.json,vplan_generator,gpt-5.4,2001,1914,3915,0.0337125
11,2026-07-03T15:21:23,generated_vplan_2026-07-03_15-21-00.json,edge_case_extractor,gpt-5.4,2076,464,2540,0.01215
12,2026-07-06T09:02:19,generated_vplan_2026-07-06_09-01-47.json,vplan_generator,gpt-5.4,2005,2258,4263,0.0388825
12,2026-07-06T09:02:19,generated_vplan_2026-07-06_09-01-47.json,edge_case_extractor,gpt-5.4,2076,468,2544,0.01221
13,2026-07-06T09:27:42,generated_vplan_2026-07-06_09-27-14.json,vplan_generator,gpt-5.4,2115,2162,4277,0.0377175
13,2026-07-06T09:27:42,generated_vplan_2026-07-06_09-27-14.json,edge_case_extractor,gpt-5.4,2076,578,2654,0.01386
14,2026-07-06T10:54:38,generated_vplan_2026-07-06_10-54-11.json,vplan_generator,gpt-5.4,1990,2028,4018,0.035395
14,2026-07-06T10:54:38,generated_vplan_2026-07-06_10-54-11.json,edge_case_extractor,gpt-5.4,2076,453,2529,0.011985
15,2026-07-06T11:14:26,generated_vplan_2026-07-06_11-14-02.json,vplan_generator,gpt-5.4,2020,1782,3802,0.03178
15,2026-07-06T11:14:26,generated_vplan_2026-07-06_11-14-02.json,edge_case_extractor,gpt-5.4,2076,483,2559,0.012435
16,2026-07-06T11:20:24,generated_vplan_2026-07-06_11-19-58.json,vplan_generator,gpt-5.4,1978,2009,3987,0.03508
16,2026-07-06T11:20:24,generated_vplan_2026-07-06_11-19-58.json,edge_case_extractor,gpt-5.4,2076,441,2517,0.011805
17,2026-07-06T11:27:33,generated_vplan_2026-07-06_11-27-09.json,vplan_generator,gpt-5.4,2005,1894,3899,0.0334225
17,2026-07-06T11:27:33,generated_vplan_2026-07-06_11-27-09.json,edge_case_extractor,gpt-5.4,2076,468,2544,0.01221
